7/12/2023 5:17:21 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=195, Limit=190
7/12/2023 5:17:23 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=167, Limit=190
7/12/2023 5:17:33 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=193, Limit=190
7/12/2023 5:17:35 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=178, Limit=190
7/12/2023 5:17:39 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=194, Limit=190
7/12/2023 5:17:41 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=177, Limit=190
7/12/2023 5:18:02 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=197, Limit=190
7/12/2023 5:18:04 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=119, Limit=190
7/12/2023 5:18:12 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=196, Limit=190
7/12/2023 5:18:14 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=109, Limit=190
7/12/2023 5:18:36 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=199, Limit=190
7/12/2023 5:18:38 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=114, Limit=190
7/12/2023 5:18:52 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=199, Limit=190
7/12/2023 5:18:54 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=179, Limit=190
7/12/2023 5:19:12 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=192, Limit=190
7/12/2023 5:19:14 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=107, Limit=190
7/12/2023 5:19:32 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=192, Limit=190
7/12/2023 5:19:34 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=146, Limit=190
7/12/2023 5:19:36 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=195, Limit=190
7/12/2023 5:19:38 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=185, Limit=190
7/12/2023 5:20:02 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=198, Limit=190
7/12/2023 5:20:04 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=134, Limit=190
7/12/2023 5:20:16 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=190, Limit=190
7/12/2023 5:20:18 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=132, Limit=190
7/12/2023 5:20:20 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=197, Limit=190
7/12/2023 5:20:22 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=168, Limit=190
7/12/2023 5:21:03 PM - Alarm triggered: TagName=Temperatura, AlarmId=1002, Value=194, Limit=190
7/12/2023 5:21:05 PM - Alarm reset: TagName=Temperatura, AlarmId=1002, Value=149, Limit=190
